Domain,Cloudflare (UDP),Cloudflare (DoH),Cloudflare (DoT),Quad9 Malware (UDP),Quad9 Malware (DoH),Quad9 Malware (DoT),ControlD Malware (UDP),ControlD Malware (DoH),ControlD Malware (DoT),ControlD Ads & Tracking (UDP),ControlD Ads & Tracking (DoH),ControlD Ads & Tracking (DoT),ControlD Family (UDP),ControlD Family (DoH),ControlD Family (DoT),Dns0 Zero (UDP),Dns0 Zero (DoH),Dns0 Zero (DoT),Dns0 Kids (UDP),Dns0 Kids (DoH),Dns0 Kids (DoT)
ubuntu.com,9.414,8.917,60.762,12.965,11.184,93.042,14.798,14.296,93.188,14.403,17.881,89.591,14.232,11.121,90.49,14.114,13.978,98.135,13.682,13.498,95.374
ubuntu.com,8.893,8.44,77.054,14.71,12.544,110.862,14.182,13.658,74.501,15.998,14.798,81.926,16.384,14.502,84.171,10.924,14.777,90.936,13.006,14.769,125.926
userapi.com,53.757,49.549,53.429,46.411,46.047,85.892,18.868,13.862,101.904,48.867,47.406,70.761,16.706,15.073,107.544,12.256,14.615,77.779,57.692,169.998,164.391
userapi.com,10.184,7.381,60.074,48.708,11.974,129.202,14.494,14.054,99.382,16.074,17.082,98.176,14.699,12.715,107.22,13.728,15.182,106.491,12.775,13.663,104.446
userapi.com,9.144,8.704,75.334,45.014,12.429,97.699,16.964,11.738,94.473,15.03,14.626,99.709,17,11.908,102.222,13.167,16.688,80.866,13.746,14.761,116.527
userapi.com,9.414,7.781,68.193,13.632,11.525,88.648,13.37,12.894,96.809,13.504,11.829,83.166,14.996,13.044,85.261,13.247,14.517,107.491,14.465,14.038,121.861
userapi.com,8.746,6.839,71.074,44.491,11.773,100.607,15.535,13.673,83.152,14.638,13.197,78.874,14.038,12.567,84.058,12.128,15.581,80.249,13.1,14.393,107.314
userapi.com,9.348,7.952,72.314,12.397,16.218,1502.396,12.784,12.313,80.143,14.734,11.192,77.222,13.229,12.936,72.366,12.739,14.004,92.191,13.208,14.964,137.906
userapi.com,29.013,8.886,73.468,16.704,12.028,113.782,14.516,13.851,101.221,15.059,13.281,102.61,14.454,13.972,98.237,12.881,15.034,81.96,13.26,14.811,128.271
userapi.com,11.662,8.475,50.548,48.033,43.427,74.775,17.73,18.787,96.657,15.179,12.564,83.59,15.269,12.178,97.738,13.709,14.201,88.972,13.164,14.154,108.823
userapi.com,8.055,7.89,115.904,57.484,11.964,96.197,14.149,11.818,84.233,20.265,19.816,102.404,14.263,13.934,100.343,12.833,14.044,79.133,12.503,14.926,113.384
userapi.com,11.265,6.974,56.637,26.073,11.749,102.189,15.068,13.441,90,14.822,12.909,97.126,14.571,13.285,94.3,12.662,14.306,99.2,12.85,13.856,108.188
hoyoverse.com,17.862,21.444,68.444,13.653,11.078,307.96,16.355,12.186,105.701,15.287,13.202,96.63,15.848,14.073,94.766,12.553,14.972,97.84,49.542,37.612,127.198
hoyoverse.com,8.852,8.593,53.81,19.86,19.39,111.135,13.87,13.406,76.489,13.489,12.978,97.615,14.807,12.777,103.242,12.294,13.973,78.506,19.705,21.682,122.478
hoyoverse.com,10.412,8.19,75.266,13.036,11.278,75.038,14.463,12.528,98.343,14.868,12.569,100.169,14.896,13.301,77.213,15.639,15.264,114.79,15.672,14.604,94.822
hoyoverse.com,9.8,8.381,65.885,15.26,11.396,96.818,14.285,13.722,103.193,14.459,12.439,80.898,16.409,14.327,101.596,13.681,13.674,81.448,11.648,14.834,92.214
hoyoverse.com,9.52,9.308,53.142,14.484,11.081,87.214,15.216,13.124,92.51,16.17,14.714,80.566,16.926,16.638,85.091,13.588,15.912,90.364,12.051,14.88,111.71
hoyoverse.com,9.988,9.554,71.484,14.969,11.139,654.681,14.897,12.842,102.268,13.63,11.887,85.17,13.259,12.972,96.923,12.6,14.045,82.548,16.928,14.988,121.329
hoyoverse.com,11.272,9.736,69.116,67.972,12.122,108.878,17.023,14.76,73.463,15.351,13.829,76.743,15.761,13.05,98.121,11.734,15.258,85.384,14.346,13.987,114.852
hoyoverse.com,49.409,7.818,51.183,13.389,11.596,77.103,17.397,13.363,102.905,13.654,13.142,106.142,14.24,12.441,78.271,11.997,15.078,85.558,13.48,21.005,127.705
hoyoverse.com,10.238,9.783,76.6,15.749,11.544,98.22,14.818,12.797,80.191,14.982,13.003,103.155,14.478,16.329,100.002,11.847,13.225,101.94,14.6,14.481,114.147
hoyoverse.com,11.718,7.303,67.007,14.17,12.28,75.536,12.671,12.438,84.864,14.783,12.308,71.426,16.892,12.718,68.213,10.596,16.217,73.316,11.717,12.78,93.661
dehopre.com,17.045,17.012,52.767,27.839,27.311,840.508,15.852,12.873,91.942,16.404,14.266,88.16,18.054,16.143,99.541,12.617,15.459,97.61,17.824,20.295,107.241
dehopre.com,37.75,6.342,55.861,25.042,11.615,90.228,16.811,16.408,73.368,13.766,12.673,76.088,16.17,12.358,119.356,12.921,16.27,103.299,12.36,14.198,99.674
dehopre.com,11.154,7.559,71.696,27.979,15.732,89.163,16.415,14.16,114.22,17.333,25.196,97.734,13.255,12.845,98.852,12.563,14.168,91.362,12.988,15.005,117.893
dehopre.com,10.276,8.198,53.734,20.11,11.501,93.868,14.654,13.442,90.058,15.54,15.014,96.161,14.518,14.056,106.14,13.182,15.32,105.132,13.746,15.43,130.581
dehopre.com,10.071,8.392,57.148,33.885,14.342,251.143,14.793,14.301,95.931,16.461,13.689,102.624,16.563,14.479,69.261,11.99,13.241,96.716,12.718,15.096,119.245
dehopre.com,10.888,8.888,52.879,14.21,11.915,100.208,15.456,14.858,102.509,14.417,14.022,90.31,14.465,14.049,101.017,13.307,14.416,101.496,12.91,15.015,118.501
dehopre.com,10.154,8.907,57.369,30.896,11.471,93.572,13.425,12.195,76.949,14.936,12.097,101.742,14.395,12.746,92.266,14.654,14.56,106.41,13.206,16.077,122.813
dehopre.com,8.267,8.041,79.633,396.202,10.492,98.835,15.608,13.806,96.398,15.685,13.138,103.822,14.549,12.845,98.019,12.827,128.16,123.144,13.494,13.382,109.25
dehopre.com,10.044,8.306,72.033,13.506,9.774,67.814,15.096,14.812,89.648,25.675,16.298,68.897,15.272,12.158,94.524,13.062,92.924,115.337,13.163,14.811,119.188
dehopre.com,10.247,8.517,57.245,14.245,12.442,104.186,15.046,15.698,91.028,13.107,12.958,74.065,13.44,12.972,99.141,13.326,14.177,126.089,12.154,14.16,95.125
dehopre.dev,24.442,53.735,80.152,100.388,33.815,128.785,17.171,11.374,85.294,14.899,12.751,95.056,25.35,25.284,105.952,13.062,14.483,108.082,65.235,20.62,129.196
dehopre.dev,8.689,8.432,55.303,27.644,12.263,106.826,17.474,12.987,97.649,13.264,12.682,99.954,13.71,13.366,81.938,12.832,15.11,119.875,12.575,15.133,128.369
dehopre.dev,15.794,13.28,76.001,27.876,11.383,96.531,15.128,12.841,95.207,12.723,12.414,80.686,13.552,12.801,73.475,20.081,13.575,99.112,13.395,73.363,106.687
dehopre.dev,17.44,7.702,59.619,13.401,11.371,80.141,13.984,12.175,85.157,15.644,13.606,97.142,13.664,13.431,68.65,13.326,14.978,119.913,11.396,38.939,106.884
dehopre.dev,9.303,8.974,76.986,12.063,11.72,81.675,16.523,14.118,104.737,13.996,13.465,107.431,13.487,11.512,74.766,12.85,21.002,104.984,13.091,29.405,115.028
dehopre.dev,10.185,9.705,57.764,14.131,12.532,98.101,13.298,13.118,105.9,13.766,12.19,85.364,13.534,13.158,96.422,15.268,14.908,120.204,13.146,14.369,102.42
dehopre.dev,10.764,8.547,114.511,12.897,12.418,79.434,14.343,12.643,88.409,14.814,13.677,101.698,14.151,12.59,83.649,16.446,16.291,104.775,12.056,15.205,95.836
dehopre.dev,10.211,9.727,71.638,76.01,11.199,117.393,15.576,12.221,79.25,13.948,11.241,80.77,15.423,14.965,101.197,12.185,15.253,95.165,13.381,14.994,126.162
dehopre.dev,49.837,8.05,60.306,13.269,11.487,124.075,15.584,13.573,89.168,13.444,12.996,97.714,15.807,14.416,89.751,13.471,13.202,98.661,13.141,15.78,97.146
dehopre.dev,9.332,7.635,109.272,13.922,12.075,98.688,16.434,14.02,77.396,17.642,12.585,125.833,15.441,12.188,94.11,13.8,13.626,94.17,12.254,14.394,98.633
dehop.re,17.586,53.772,63.52,22.302,14.683,174.812,14.305,12.84,62.677,19.415,13.381,90.046,17.584,16.533,90.484,13.778,15.39,119.708,26.956,21.84,128.397
dehop.re,14.174,7.788,64.358,50.38,18.84,97.742,14.821,13.022,96.836,13.972,13.63,91.526,24.018,12.192,90.86,12.746,15.063,97.118,13.155,14.99,117.462
dehop.re,10.365,8.802,58.606,21.41,19.212,105.666,15.994,14.191,99.494,14.075,13.411,100.243,14.586,12.748,98.677,13.177,14.776,126.784,13.23,15.687,99.364
dehop.re,9.427,7.245,52.754,14.453,11.426,90.707,15.444,12.98,76.163,12.951,12.691,87.99,18.433,12.729,98.336,12.953,14.833,122.193,12.597,14.188,103.891
dehop.re,17.059,15.242,72.911,26.036,19.216,93.086,21.613,19.995,97.559,13.798,13.205,101.793,14.197,12.491,72.384,12.5,17.56,101.383,19.5,19.036,118.58
dehop.re,10.868,8.394,73.485,20.868,18.566,103.617,15.568,15.04,97.848,16.1,14.05,93.807,16.27,11.701,90.678,15.495,15.245,103.091,11.862,14.542,101.788
dehop.re,11.271,8.538,63.092,20.966,18.862,99.945,14.17,12.636,90.848,14.984,13.268,82.809,14.33,13.921,76.882,13.764,14.643,103.139,13.557,15.541,104.77
dehop.re,9.242,7.629,55.71,13.884,11.68,101.286,17.149,13.548,98.39,14.327,12.74,94.419,14.982,12.827,100.942,13.576,15.309,119.223,14.108,15.059,112.897
dehop.re,11.921,8.925,89.275,21.793,48.157,96.45,16.921,14.41,101.962,13.816,13.504,80.797,13.349,12.061,69.988,12.769,15.281,115.943,19.698,21.69,120.425
dehop.re,10.485,8.336,86.958,29.194,15.039,99.718,27.841,14.414,107.8,15.494,12.788,90.108,14.485,17.637,108.254,12.944,14.677,121.46,13.354,16.102,121.267
